question,answer01,answer02,answer03,answer04,answerScore01,answerScore02,answerScore03,answerScore04,qitemNo,group,계열
"나무, 잔디, 화초 등의 식물을 심어 공원이나 정원을 가꾼다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,117,12,이과계열
환경보전에 필요한 기술을 개발하고 환경오염방지를 위한 시설을 설계한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,118,13,이과계열
공기나 수질의 오염 정도를 정기적으로 측정한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,119,13,이과계열
환경오염 문제를 연구하여 오염 방지 대책을 만든다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,120,13,이과계열
우리 지역의 날씨와 미세먼지를 측정하고 예측한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,121,13,이과계열
기상 관측 결과를 바탕으로 일기예보를 한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,122,13,이과계열
토양 오염 물질이 환경에 미치는 영향을 연구한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,123,13,이과계열
공사 현장 등에서 발생하는 소음·진동을 측정하고 대책을 마련한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,124,13,이과계열
일반 및 산업폐기물을 해로움이 없도록 안전하게 처리한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,125,13,이과계열
국내외 온실가스 감축 현황을 분석하고 탄소배출권 거래를 돕는다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,126,13,이과계열
부품 및 제품을 조립하여 완성품을 만든다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,127,14,이과계열
"망치, 드릴 등 공구를 이용하여 고장난 것을 고치거나 새로운 것을 만든다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,128,14,이과계열
목재를 가공하여 의자나 선반 등 가구를 만든다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,129,14,이과계열
전기 설비나 조명을 설치한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,130,14,이과계열
물건이 고장난 이유를 찾아보고 수리한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,131,14,이과계열
"엔진, 타이어 등을 조립하여 자동차를 만든다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,132,14,이과계열
공장에 기계를 설치하고 점검한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,133,14,이과계열
"제품이나 자재를 분류하거나 포장, 조립한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,134,14,이과계열
"여객선, 화물선 등 선박을 만들거나 수리한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,135,14,이과계열
집의 구조를 설계하고 적합한 재료들을 사용하여 집을 짓는다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,145,16,이과계열
건물벽에 열 손실과 소음 방지를 위한 재료를 시공한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,146,16,이과계열
아파트를 설계한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,147,16,이과계열
건물이 건축되는 순서와 단계를 배운다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,148,16,이과계열
지역의 특성을 분석하고 신도시를 개발한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,149,16,이과계열
낡고 오래된 도시를 되살리는 도시 재생 계획을 세운다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,150,16,이과계열
"건설 공사나 지도제작을 위해 토지의 형태, 면적 등을 측량한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,151,16,이과계열
"도로, 철도, 터널, 항만, 댐 등을 건설한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,152,16,이과계열
"도로, 철도, 터널, 항만, 댐 등을 점검하고 보수한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,153,16,이과계열
