majorSeq,major,interest,property,공통과목,일반선택과목,진로선택과목,lClass,class_type
10141,교양경상학부,"평소에 컴퓨터를 잘 다루고 각종 데이터에 대해 관심이 있으면 좋습니다. 경영통계, 회계, 재무, 금융 등의 분야에서 수학적 사고력이 요구되며 빅데이터에 대한 관심이 필요합니다.","국가경제의 높은 대외무역의존도와 날로 가속화되고 있는 개방화/세계화 추세에 적극적으로 대처할 수 있는 글로벌 무역전문가 양성을 학과의 주된 교육목표로 합니다. 특히 학생들이 올바른 윤리의식을 가지고 사회에 진출할 수 있도록 교육과정에서 윤리교육을 적극적으로 반영하며, 교수진 또한 윤리규정을 준수하고 책임의식을 고양하도록 하고 있습니다.","수학, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 창의 경영, 지식 재산 일반",사회계열,문과계열
10143,교양사회과학부,"사회 현상에 대한 깊은 관심과 비판적 사고 능력, 그리고 건전한 윤리 의식이 필요합니다.","교양사회과학부는 사회구조와 문화 그리고 그것의 역사적 전개와 변동을 이해함으로써 인간의 사회적 행위를 설명하려는 총체적 기초 학문적 성격을 지닌 경험과학으로 사회현상을 과학적으로 설명하고자 하는 학문적 목표를 갖고 있습니다. 또한 교양사회학부는 사회의 여러 분야에서 정책을 구상하고 평가하는 것뿐만 아니라 더 나은 사회를 만드는 데 유용한 지식들을 제공하는 학과로 기초전공 이외에 학문지향적 교육과정과 취업지향적 교육과정을 구분하여 편성하고 있습니다. 학문지향적 교육과정은 직업으로서 학문을 하려는 학생들에게 사회학을 좀 더 넓고 깊이 이해시키기 위하여 구성되었고, 취업지향적 교육과정은 사회학 과목 중 응용과학적 특성이 강한 현장 중심적 과목들로 구성되어 있습니다.","사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회ㆍ문화,  생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학",사회문제 탐구,사회계열,문과계열
10145,교양인문학부,문제를 해결하는데 있어 다양한 분야를 접목하는 것에 흥미를 느낀다면 즐겁게 전공 공부를 할 수 있습니다. 자신의 생각과 의견을 정확하고 효율적으로 전달하는 의사소통 능력과 통찰력을 갖추었다면 유리합니다. ,"모든 분야에서 융합이 중요하게 여겨지고 있는 사회 분위기에 따라 교양인문학부는 학문의 기본인 교양 교육을 통해 문예적 상상력, 서계사적 안목을 함양하도록 합니다. 학생들이 시대의 요구에 능동적으로 대처하며 종합적인 사고 및 판단능력을 갖추어 인문ㆍ사회ㆍ과학 간의 융합을 이끌어 갈 수 있도록 동력을 제공합니다.","영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 시미학, 교육학, 실용 경제","실용 수학, 실용 영어, 영어권 문화, 진로 영어, 사회문제 탐구, 창의경영, 지식 재산 일반",인문계열,문과계열
57,교육공학과,"교육공학은 각종 교육 프로그램을 개발하여 교육 현장의 문제를 해결하는 실천적인 학문이며, 교육을 통해 사람을 변화시키는 것을 목적으로 합니다. 따라서 다양한 교육 문제에 대한 관심이 필요하며, 인간을 존중하는 태도를 갖는 것이 중요합니다. 첨단 기술에 대한 학습을 위해 수학적 재능, 논리적 사고력, 과학적 응용력을 갖춘 학생에게 유리합니다. ","교육공학과는 효율적인 교육을 위해 교육에 첨단 기술을 도입하며, 심리학, 경영학, 커뮤니케이션 이론 등 다양한 이론을 연구합니다. 또한 교육 방법의 첨단화ㆍ정보화를 통한 혁신적인 교육을 추구합니다. 교육공학과에서는 교육학 이론을 학습함과 동시에 첨단 기자재를 통한 연구와 실습을 통해 새로운 지식과 기술을 습득합니다. ","국어, 영어, 기술ㆍ가정 ","교양교과 : 심리학, 교육학",공학 일반,교육계열,문과계열
59,교육학과,"교육은 가르치고 배우는 과정을 통해 인간의 성장ㆍ발달을 돕는 활동입니다. 따라서 사람에 대한 이해와 애정, 타인의 가치와 잠재력을 존중하는 자세가 중요합니다. 평소 교육 정책을 비롯한 교육 문제와 청소년 문제에 대한 관심이 필요합니다. 또, 원활한 교육 활동을 위한 정확한 언어 구사 능력 및 정직성과 리더십을 갖춘 학생에게 적합한 분야입니다. ","교육학과는 학교 현장에서 학생들을 교육하는 데 필요한 수업 방식 및 각종 교육 이론과 정책을 분석합니다. 또, 인간과 사회에 대한 종합적인 이해를 통해 교육 현상을 연구합니다. 따라서 심리학, 철학, 사회학 등 다양한 학문에 대한 폭넓은 학습이 필요합니다. 교육학은 기업 교육, 상담 교육, 영재 교육,사이버 교육 등 사회의 여러 분야에 적용됩니다. ","국어, 영어, 사회, 윤리","사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","사회문제 탐구, 고전과 윤리",교육계열,문과계열
68,국어교육과,"중ㆍ고등학교에서 배우는 국어 관련 여러 과목을 즐겨 공부했거나, 책 읽는 것을 좋아하고 우리 문화와 예술에 관심과 흥미가 있다면 이 학과의 문을 두드려 볼 만합니다. 국어학에 대해 배우므로 언어적 구조를 공부할 수 있는 기본적인 언어 감각과 논리적 사고력, 분석력을 갖추면 도움이 됩니다. 또, 문학 작품을 비평적으로 읽고 분석하는 능력도 필요합니다. 사람을 가르치는 일을 하므로 상대방에 대한 배려와 공감, 이해 능력이 높으면 도움이 됩니다. ","최근 세계 각국에 ‘한류’ 열풍이 일면서 한국 문화를 선도적으로 알리는 국어교육과의 역할이 중요해지고 있습니다. 또한 ‘스토리텔링’과 ‘문화 콘텐츠’의 열풍에서 알 수 있듯이, 창의적 글쓰기가 중요한 시대에 살고 있어 이와 같은 시대에 중요한 역할을 할 수 있을 것입니다. ","국어, 사회, 윤리","국어교과 : 화법과 작문, 독서, 언어와 매체, 문학<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","실용 국어, 심화 국어, 고전 읽기, 사회문제 탐구, 고전과 윤리",교육계열,문과계열
69,국어국문학과,"중ㆍ고등학교에서 배우는 국어 관련 여러 과목을 즐겨 공부했거나, 책 읽는 것을 좋아하고 우리 문화와 예술에 관심과 흥미가 있다면, 이 학과의 문을 두드려 볼 만합니다. 국어국문학과에서는 국어학에 대해 배우기 때문에 언어적 구조를 공부할 수 있는 기본적인 언어 감각과 논리적 사고력, 분석력을 갖추면 도움이 됩니다. 국문학 분야에서는 문학 작품을 비평적으로 읽고 분석하는 능력도 필요합니다.","최근 세계 각국에 ‘한류’ 열풍이 불면서 한국 문화를 선도적으로 알리는 국어국문학과의 역할이 중요해지고 있습니다. ‘스토리텔링’과 ‘문화콘텐츠’의 열풍에서 알 수 있듯이, 우리는 창의적 글쓰기가 중요한 시대에 살고 있습니다. 국어국문학과를 졸업하면 이와 같은 시대에 중요한 역할을 할 수 있을 것입니다. ","국어, 사회, 한문, 예술","국어교과 : 화법과 작문, 문학, 언어와 매체, 독서<br>사회교과 : 사회ㆍ문화, 생활과 윤리, 윤리와 사상, 세계사<br>예술ㆍ교양교과 : 음악, 미술, 연극, 철학, 한문Ⅰ, 심리학, 종교학","실용 국어, 심화 국어, 고전 읽기, 사회문제 탐구, 고전과 윤리, 음악ㆍ미술 감상 비평",인문계열,문과계열
10007,국제관계학과,"국제관계학을 전공하기 위해서는 국제 관계나 외교 등 국제 문제에 대한 관심이 중요합니다. 평소 뉴스나 신문을 통해 국제적인 사건들을 유심히 살펴보는 학생에게 적합합니다. 또, 개방적인 사고와 도전정신이 필요합니다. 국제관계학과에서는 각종 국제문제에 대한 정보를 수집ㆍ분석합니다. 따라서 외국어와 정보통신 능력을 갖춘 학생에게 유리합니다. ","국가 간 협력이 필요한 사안이 늘어나면서 국제 교류의 중요성이 커지고 있습니다. 국제관계학은 국제 문제에 대한 이해와 분석을 위해 세계의 여러 언어, 문화, 정치, 경제 등을 연구합니다. 따라서 정치학, 역사학, 사회학 등 다양한 학문에 대한 종합적인 학습이 필요합니다. 또, 국제문제의 안목과 감각을 습득하기 위한 현지 탐방 등의 교육과 실습이 제공됩니다. ","영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 세계사, 동아시아사, 경제, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 제2외국어I 과목, 철학, 논리학, 심리학, 종교학","여행지리, 사회문제 탐구, 제2외국어Ⅱ 과목",사회계열,문과계열
74,국제문화정보학과,"국제 사회ㆍ문화와 글로벌 시대의 변화에 대해 관심이 있다면 흥미롭게 공부할 수 있을 것입니다. 정보화 능력과 외국어능력, 리더쉽을 갖추고 있다면 전공을 이수하는데 많은 도움이 될 것입니다.",국제문화정보학과는 21세기의 변화에 맞춰 기존 학문의 한계를 극복하여 차세대 전문가를 배출하기 위해 다양한 분야를 융합한 학과입니다. 국제 지역의 언어와 문화에 대한 인문학적 소양을 함양할 뿐만 아니라 지식의 정보화 능력과 실무 능력 등을 기를 수 있습니다.  ,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 세계사, 동아시아사, 경제, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 제2외국어Ⅰ 과목, 철학, 논리학, 심리학, 종교학","여행지리, 사회문제 탐구, 제2외국어Ⅱ 과목",인문계열,문과계열
75,국제법무학과,국제분쟁 등에 대해 관심이 있다면 이 분야에 흥미가 있다고 볼 수 있습니다. 공익을 우선시하는 봉사정신과 바른 양심과 인성이 요구되며 논리적 분석력 및 공정한 판단력이 필요합니다. ,"국제법무학과에서는 국제거래, 통상법률, 영미법과 국내법, 원어강의를 통한 글로벌 인재를 양성합니다. 아울러 실무교육과 법문서 작성 교육을 통한 분석능력 함양으로 문제해결형 인재를 양성하며, 글로벌 감각과 지식, 문제해결 능력과 창의성을 통해 국내외 변호사, 기업에서의 법무 전문가를 양성을 목표로 한다.","사회, 생활ㆍ교양","사회교과 : 세계사, 정치와 법, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학",사회문제 탐구,사회계열,문과계열
21005,국제지역학과,"세계의 특정 지역에 호기심을 가지고 있으며, 그 지역의 문화, 역사, 자연, 사회, 정치 등 포괄적 지식에도 관심이 있다면 국제지역학과 전공이 재미있는 공부가 될 것입니다. 동시에, 실제 그 지역이 사용하고 있는 언어에 대한 소양 및 지식이 필요합니다. 해당 지역의 언어를 알아야 그 지역의 문화, 사회적 특성을 깊이 있게 공부할 수 있기 때문입니다. ","동아시아지역학, 중국지역학, 아랍지역학, 유럽지역학, 중남미지역학 등 세분화된 지역 공부를 할 수있다는 특징이 있습니다. 세계화의 추세에 따라 우리나라도 세계 다양한 지역과 문화ㆍ경제ㆍ정치적교류가 늘어나면서 국제지역학과에 대한 관심이 점차 높아지고 있습니다. ","사회, 외국어, 교양","사회교과 : 사회문화, 생활과 윤리, 경제, 정치와 법, 세계지리<br>외국어교과 : 영어Ⅰ, 영어Ⅱ, 영어회화, 영어독해와 작문, 제2외국어<br>교양교과 : 교육학, 심리학, 보건학, 환경, 실용경제","사회문제 탐구, 여행지리, 영어권 문화, 실용영어, 창의경영",인문계열,문과계열
70,국제통상학과,뉴스 등을 접할 때 나라와 나라 사이의 교류에 대해 관심이 있으면 좋습니다. 사회현상의 토대인 경제에 대한 관심과 이해 및 현대경제를 지배하는 ‘세계화’에 대한 이해가 필요합니다. 또한 세계 경제의 지속 가능한 발전에 대한 이해가 필요합니다.,"국제통상학과는 창의적인 글로벌 경영 전문 인력 양성과 연구 활동으로 지역, 국가, 국제사회에 기여하고자 하는 학과입니다. 국제통상학과는 글로벌 경제 현상에 대한 제반 이해를 통해 국제 경제 및 경영현상을 올바로 파악하게 하고, 기업의 글로벌화와 시장 개방의 과정에서 필연적으로 겪게 되는 문화갈등, 언어, 관습, 환율 및 무역의 이슈를 중점적으로 교육함으로써, 글로벌 경영인의 소양과 자질을 배양하여, 새로운 국제화시대와 지역사회의 요구에 부응하는 글로벌 전문인력을 양성하고 있습니다.","영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 제2외국어I 과목, 심리학, 교육학, 실용 경제","실용 수학, 실용 영어, 영어권 문화, 진로 영어, 영미 문학 읽기, 사회문제 탐구, 창의 경영, 지식 재산 일반, 제2외국어Ⅱ 과목",사회계열,문과계열
373,국제학부,"세계의 특정 지역에 호기심을 가지고 있으며, 그 지역의 문화, 역사, 자연, 사회, 정치 등 포괄적 지식에도 관심이 있다면 국제지역학과 전공이 재미있는 공부가 될 것입니다. 동시에, 실제 그 지역이 사용하고 있는 언어에 대한 소양 및 지식이 필요합니다. 해당 지역의 언어를 알아야 그 지역의 문화, 사회적 특성을 깊이 있게 공부할 수 있기 때문입니다. ",세계 여러 나라의 학생들과 함께 세계 여러 나라들에 대해 세분화된 지역 공부를 할 수 있다는 특징이 있습니다. 세계화의 추세에 따라 우리나라도 세계 다양한 지역과 문화ㆍ경제ㆍ정치적 교류가 늘어나면서 국제학부에 대한 관심이 점차 높아지고 있습니다. ,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 세계사, 동아시아사, 경제, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 제2외국어I 과목, 철학, 논리학, 심리학, 종교학","여행지리, 사회문제 탐구, 제2외국어Ⅱ 과목",사회계열,문과계열
10026,군사학과,"군사, 국방에 대한 관심이 있다면 이 학과에 적합합니다. 리더로서의 품성과 자질을 개발하기 위한 노력과 올바른 국가관을 확립하기 위한 노력이 필요하며 미래의 다양한 안보 환경에 대한 창의적인 안목 함양을 위한 노력이 요구됩니다.","군사학과는 군사이론의 과학화와 체계를 정립한 독립된 학문으로 군사학의 학문체계정립과 미래의 전장 환경에 능동적으로 대처하기 위한 인재양성을 목적으로 하는 학과입니다. 군사학과는 군사학 전문학위(학사?석사?박사)를 부여하기 위한 학사관리 여건 조성과 이러한 기반을 바탕으로 합동중심 사고를 견지하도록 육.해.공군 합동군사학과로 발전시켜 나아가고 있습니다. 이를 구현하기 위하여 군사학과의 교육목표는 국방환경 변화에 대응할 수 있는 미래형 군사전문가, 어학능력 및 다양한 국제문화 역량을 겸비한 글로벌 군사전문가, 유연하고 탄력적인 대응능력을 갖춘 창조형 군사전문가, 지(知)?정(情)?의(義)를 겸비한 전인적 군사전문가 양성에 두고 교육합니다. 교육과정으로는 국가안보론, 국방경제학, 국방기획관리, 국방정책론, 국방조직관리론, 국제관계론, 군대사회학, 군대윤리, 군비통제, 군사과학기술, 군사교육학, 군사법 등이 있습니다.","사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 경제, 생활과 윤리<br>생활ㆍ교양교과 : 논리학, 심리학, 교육학",사회문제 탐구,사회계열,문과계열
